F;BRK;BRKSET;SEQRUN;PLATE;RAW;XYLAN;SEAWEED;FERMENTED;SUBSTRATE;ANIMAL;DONOR;UNIQUES;UNIQUES2;BIOLEC
1;BRK83;1;1;1;Rapeseed;n;n;Unfermented;C100;Human;A;C100 HumanA;C100 HumanA 1;HB3
2;BRK9;1;2;3;Rapeseed;n;n;Unfermented;C100;Human;A;C100 HumanA;C100 HumanA 2;HB4
3;BRK82;1;1;1;Rapeseed;n;n;Unfermented;C100;Human;B;C100 HumanB;C100 HumanB 3;HB3
4;BRK10;1;2;3;Rapeseed;n;n;Unfermented;C100;Human;B;C100 HumanB;C100 HumanB 4;HB4
5;BRK43;1;2;3;Rapeseed;n;n;Unfermented;C100;Human;A;C100 HumanA;C100 HumanA 5;B6M
6;BRK30;1;1;1;Rapeseed;n;n;Unfermented;C100;Human;C;C100 HumanC;C100 HumanC 6;HB1
7;BRK54;1;1;1;RapeseedSeaweed;n;y;Unfermented;C1199;Human;A;C1199 HumanA;C1199 HumanA 7;HB2
8;BRK81;1;1;1;Rapeseed;n;y;Unfermented;C1199;Human;A;C1199 HumanA;C1199 HumanA 8;HB3
9;BRK35;1;2;3;Rapeseed;n;n;Unfermented;C100;Human;B;C100 HumanB;C100 HumanB 9;HB5
10;BRK11;1;2;3;RapeseedSeaweed;n;y;Unfermented;C1199;Human;B;C1199 HumanB;C1199 HumanB 10;HB4
11;BRK80;1;1;1;Rapeseed;n;y;Unfermented;C1199;Human;C;C1199 HumanC;C1199 HumanC 11;HB3
12;BRK28;1;1;1;RapeseedSeaweed;n;y;Unfermented;C1199;Human;C;C1199 HumanC;C1199 HumanC 12;HB1
13;BRK29;1;2;3;Soybean;n;n;Unfermented;C200;Human;A;C200 HumanA;C200 HumanA 13;HB5
14;BRK30;1;2;3;Soybean;n;n;Unfermented;C200;Human;A;C200 HumanA;C200 HumanA 14;HB5
15;BRK78;1;1;1;Soybean;n;n;Unfermented;C200;Human;B;C200 HumanB;C200 HumanB 15;HB3
16;BRK79;1;1;1;Soybean;n;n;Unfermented;C200;Human;B;C200 HumanB;C200 HumanB 16;HB3
17;BRK45;1;2;3;Soybean;n;n;Unfermented;C200;Human;C;C200 HumanC;C200 HumanC 17;B6M
18;BRK29;1;1;1;Soybean;n;n;Unfermented;C200;Human;C;C200 HumanC;C200 HumanC 18;HB1
19;BRK26;1;1;1;SoybeanSeaweed;n;y;Unfermented;C2299;Human;A;C2299 HumanA;C2299 HumanA 19;HB1
20;BRK77;1;1;1;Soybean;n;y;Unfermented;C2299;Human;A;C2299 HumanA;C2299 HumanA 20;HB3
21;BRK25;1;2;3;SoybeanSeaweed;n;y;Unfermented;C2299;Human;B;C2299 HumanB;C2299 HumanB 21;HB5
22;BRK12;1;2;3;SoybeanSeaweed;n;y;Unfermented;C2299;Human;B;C2299 HumanB;C2299 HumanB 22;HB4
23;BRK25;1;1;1;SoybeanSeaweed;n;y;Unfermented;C2299;Human;C;C2299 HumanC;C2299 HumanC 23;HB1
24;BRK27;1;1;1;SoybeanSeaweed;n;y;Unfermented;C2299;Human;C;C2299 HumanC;C2299 HumanC 24;HB1
25;BRK76;1;1;1;Rapeseed;n;n;Fermented;EP100;Human;A;EP100 HumanA;EP100 HumanA 25;HB3
26;BRK21;1;1;1;Rapeseed;n;n;Fermented;EP100;Human;A;EP100 HumanA;EP100 HumanA 26;HB1
27;BRK8;1;2;3;Rapeseed;n;n;Fermented;EP100;Human;B;EP100 HumanB;EP100 HumanB 27;HB4
28;BRK42;1;2;3;Rapeseed;n;n;Fermented;EP100;Human;B;EP100 HumanB;EP100 HumanB 28;B6M
29;BRK7;1;2;3;Rapeseed;n;y;Fermented;EP100;Human;C;EP100 HumanC;EP100 HumanC 29;HB4
30;BRK6;1;2;3;Rapeseed;n;n;Fermented;EP100;Human;C;EP100 HumanC;EP100 HumanC 30;HB4
31;BRK5;1;2;3;RapeseedSeaweed;n;y;Fermented;EP1199;Human;A;EP1199 HumanA;EP1199 HumanA 31;HB4
32;BRK75;1;1;1;Rapeseed;n;y;Fermented;EP1199;Human;A;EP1199 HumanA;EP1199 HumanA 32;HB3
33;BRK4;1;2;3;RapeseedSeaweed;n;y;Fermented;EP1199;Human;B;EP1199 HumanB;EP1199 HumanB 33;HB4
34;BRK20;1;1;1;RapeseedSeaweed;n;y;Fermented;EP1199;Human;B;EP1199 HumanB;EP1199 HumanB 34;HB1
35;BRK74;1;1;1;Rapeseed;n;y;Fermented; EP1199;Human;C; EP1199 HumanC; EP1199 HumanC 35;HB3
36;BRK18;1;1;1;RapeseedSeaweed;n;y;Fermented; EP1199;Human;C; EP1199 HumanC; EP1199 HumanC 36;HB1
37;BRK70;1;1;1;Soybean;n;n;Fermented;EP200;Human;A;EP200 HumanA;EP200 HumanA 37;HB3
38;BRK73;1;1;1;Soybean;n;n;Fermented;EP200;Human;A;EP200 HumanA;EP200 HumanA 38;HB3
39;BRK53;1;1;1;Soybean;n;n;Fermented;EP200;Human;B;EP200 HumanB;EP200 HumanB 39;HB2
40;BRK40;1;2;3;Soybean;n;n;Fermented;EP200;Human;B;EP200 HumanB;EP200 HumanB 40;B6M
41;BRK34;1;2;3;Soybean;n;n;Fermented;EP200;Human;C;EP200 HumanC;EP200 HumanC 41;HB5
42;BRK46;1;2;3;Soybean;n;n;Fermented;EP200;Human;C;EP200 HumanC;EP200 HumanC 42;B6M
43;BRK14;1;1;1;SoybeanSeaweed;n;y;Fermented;EP2299;Human;A;EP2299 HumanA;EP2299 HumanA 43;HB1
44;BRK3;1;2;3;SoybeanSeaweed;n;y;Fermented;EP2299;Human;A;EP2299 HumanA;EP2299 HumanA 44;HB4
45;BRK15;1;1;1;SoybeanSeaweed;n;y;Fermented;EP2299;Human;B;EP2299 HumanB;EP2299 HumanB 45;HB1
46;BRK69;1;1;1;SoybeanSeaweed;n;y;Fermented;EP2299;Human;B;EP2299 HumanB;EP2299 HumanB 46;HB3
47;BRK33;1;2;3;SoybeanSeaweed;n;y;Fermented;EP2299;Human;C;EP2299 HumanC;EP2299 HumanC 47;HB5
48;BRK52;1;1;1;SoybeanSeaweed;n;y;Fermented;EP2299;Human;C;EP2299 HumanC;EP2299 HumanC 48;HB2
49;BRK68;1;1;1;SoybeanSeaweed;n;y;Fermented;EP2299;Human;A;EP2299 HumanA;EP2299 HumanA 49;HB3
50;BRK55;1;1;1;Xylan;y;n;Xylan;XYL1;Human;A;XYL1 HumanA;XYL1 HumanA 50;HB3
51;BRK15;1;2;3;Xylan;y;n;Xylan;XYL1;Human;B;XYL1 HumanB;XYL1 HumanB 51;HB5
52;BRK89;1;1;1;Xylan;y;n;Xylan;XYL1;Human;B;XYL1 HumanB;XYL1 HumanB 52;HB4
53;BRK36;1;1;1;Xylan;y;n;Xylan;XYL1;Human;C;XYL1 HumanC;XYL1 HumanC 53;HB2
54;BRK37;1;1;1;Xylan;y;n;Xylan;XYL1;Human;C;XYL1 HumanC;XYL1 HumanC 54;HB2
55;BRK88;1;1;1;Xylan;y;n;Xylan;XYL2;Human;A;XYL2 HumanA;XYL2 HumanA 55;HB4
56;BRK32;1;1;1;Xylan;y;n;Xylan;XYL2;Human;A;XYL2 HumanA;XYL2 HumanA 56;HB2
57;BRK1;1;1;1;Xylan;y;n;Xylan;XYL2;Human;B;XYL2 HumanB;XYL2 HumanB 57;HB1
58;BRK35;1;1;1;Xylan;y;n;Xylan;XYL2;Human;B;XYL2 HumanB;XYL2 HumanB 58;HB2
59;BRK87;1;1;1;Xylan;y;n;Xylan;XYL2;Human;C;XYL2 HumanC;XYL2 HumanC 59;HB4
60;BRK20;1;2;3;Xylan;y;n;Xylan;XYL2;Human;C;XYL2 HumanC;XYL2 HumanC 60;HB5
61;BRK46;1;1;1;Xylan;y;n;Xylan;XYLC;Human;A;XYLC HumanA;XYLC HumanA 61;HB2
62;BRK12;1;1;1;Xylan;y;n;Xylan;XYLC;Human;A;XYLC HumanA;XYLC HumanA 62;HB1
63;BRK18;1;2;3;Xylan;y;n;Xylan;XYLC;Human;B;XYLC HumanB;XYLC HumanB 63;HB5
64;BRK10;1;1;1;Xylan;y;n;Xylan;XYLC;Human;B;XYLC HumanB;XYLC HumanB 64;HB1
65;BRK44;1;1;1;Xylan;y;n;Xylan;XYLC;Human;C;XYLC HumanC;XYLC HumanC 65;HB2
66;BRK67;1;1;1;Xylan;y;n;Xylan;XYLC;Human;C;XYLC HumanC;XYLC HumanC 66;HB3
67;BRK6;1;1;1;XylanRapeseed;y;n;Fermented;XYL1EP100;Human;A;XYL1 EP100 HumanA;XYL1 EP100 HumanA 67;HB1
68;BRK42;1;1;1;XylanRapeseed;y;n;Fermented;XYL1EP100;Human;B;XYL1 EP100 HumanB;XYL1 EP100 HumanB 68;HB2
69;BRK28;1;2;3;XylanSoybean;y;n;Fermented;XYL1EP100;Human;B;XYL1 EP100 HumanB;XYL1 EP100 HumanB 69;HB5
70;BRK43;1;1;1;XylanRapeseed;y;n;Fermented;XYL1EP100;Human;B;XYL1 EP100 HumanB;XYL1 EP100 HumanB 70;HB2
71;BRK38;1;1;1;XylanRapeseed;y;n;Fermented;XYL1EP100;Human;C;XYL1 EP100 HumanC;XYL1 EP100 HumanC 71;HB2
72;BRK44;1;2;3;XylanSoybean;y;n;Fermented;XYL1EP100;Human;C;XYL1 EP100 HumanC;XYL1 EP100 HumanC 72;B6M
73;BRK61;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Human;A;XYL1 EP1199 HumanA;XYL1 EP1199 HumanA 73;HB3
74;BRK40;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Human;A;XYL1 EP1199 HumanA;XYL1 EP1199 HumanA 74;HB2
75;BRK4;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Human;B;XYL1 EP1199 HumanB;XYL1 EP1199 HumanB 75;HB1
76;BRK58;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Human;B;XYL1 EP1199 HumanB;XYL1 EP1199 HumanB 76;HB3
77;BRK8;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Human;C;XYL1 EP1199 HumanC;XYL1 EP1199 HumanC 77;HB1
78;BRK59;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Human;C;XYL1 EP1199 HumanC;XYL1 EP1199 HumanC 78;HB3
79;BRK21;1;2;3;XylanSoybean;y;n;Fermented;XYL1EP200;Human;A;XYL1 EP200 HumanA;XYL1 EP200 HumanA 79;HB5
80;BRK7;1;1;1;XylanSoybean;y;n;Fermented;XYL1EP200;Human;A;XYL1 EP200 HumanA;XYL1 EP200 HumanA 80;HB1
81;BRK57;1;1;1;XylanSoybean;y;n;Fermented;XYL1EP200;Human;B;XYL1 EP200 HumanB;XYL1 EP200 HumanB 81;HB3
82;BRK91;1;1;1;XylanSoybean;y;n;Fermented;XYL1EP200;Human;B;XYL1 EP200 HumanB;XYL1 EP200 HumanB 82;HB4
84;BRK39;1;1;1;XylanSoybean;y;n;Fermented;XYL1EP200;Human;C;XYL1 EP200 HumanC;XYL1 EP200 HumanC 84;HB2
85;BRK5;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYL1EP2299;Human;A;XYL1 EP2299 HumanA;XYL1 EP2299 HumanA 85;HB1
86;BRK41;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYL1EP2299;Human;A;XYL1 EP2299 HumanA;XYL1 EP2299 HumanA 86;HB2
87;BRK90;1;1;1;XylanSoybean;y;y;Fermented;XYL1EP2299;Human;B;XYL1 EP2299 HumanB;XYL1 EP2299 HumanB 87;HB4
88;BRK60;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYL1EP2299;Human;B;XYL1 EP2299 HumanB;XYL1 EP2299 HumanB 88;HB3
89;BRK39;1;2;3;XylanSoybeanSeaweed;y;y;Fermented;XYL1EP2299;Human;C;XYL1 EP2299 HumanC;XYL1 EP2299 HumanC 89;B6M
90;BRK22;1;1;1;Rapeseed;n;n;Fermented;EP100;Human;C;EP100 HumanC;EP100 HumanC 90;HB1
91;BRK19;1;2;3;RapeseedSeaweed;n;y;Fermented;EP1199;Human;A;EP1199 HumanA;EP1199 HumanA 91;HB5
92;BRK19;1;1;1;RapeseedSeaweed;n;y;Fermented;EP1199;Human;A;EP1199 HumanA;EP1199 HumanA 92;HB1
93;BRK34;1;1;1;XylanRapeseed;y;n;Fermented;XYL2EP100;Human;B;XYL2EP100 HumanB;XYL2EP100 HumanB 93;HB2
94;BRK17;1;1;1;RapeseedSeaweed;n;y;Fermented;EP1199;Human;B;EP1199 HumanB;EP1199 HumanB 94;HB1
95;BRK14;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP100;Human;C;XYL2EP100 HumanC;XYL2EP100 HumanC 95;HB5
96;BRK16;1;1;1;RapeseedSeaweed;n;y;Fermented;EP1199;Human;C;EP1199 HumanC;EP1199 HumanC 96;HB1
97;BRK56;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYL2EP1199;Human;A;XYL2EP1199 HumanA;XYL2EP1199 HumanA 97;HB3
98;BRK41;1;2;3;Soybean;n;n;Fermented;EP200;Human;A;EP200 HumanA;EP200 HumanA 98;B6M
99;BRK31;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYL2EP1199;Human;B;XYL2EP1199 HumanB;XYL2EP1199 HumanB 99;HB2
100;BRK33;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYL2EP1199;Human;B;XYL2EP1199 HumanB;XYL2EP1199 HumanB 100;HB2
101;BRK27;1;2;3;XylanRapeseedSeaweed;y;y;Fermented;XYL2EP1199;Human;C;XYL2EP1199 HumanC;XYL2EP1199 HumanC 101;HB5
102;BRK86;1;1;1;XylanRapeseed;y;y;Fermented;XYL2EP1199;Human;C;XYL2EP1199 HumanC;XYL2EP1199 HumanC 102;HB4
103;BRK85;1;1;1;XylanSoybean;y;n;Fermented;XYL2EP200;Human;A;XYL2EP200 HumanA;XYL2EP200 HumanA 103;HB4
104;BRK13;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP200;Human;A;XYL2EP200 HumanA;XYL2EP200 HumanA 104;HB5
105;BRK3;1;1;1;XylanSoybean;y;n;Fermented;XYL2EP200;Human;B;XYL2EP200 HumanB;XYL2EP200 HumanB 105;HB1
106;BRK38;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP200;Human;B;XYL2EP200 HumanB;XYL2EP200 HumanB 106;HB5
107;BRK37;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP200;Human;C;XYL2EP200 HumanC;XYL2EP200 HumanC 107;HB5
108;BRK36;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP200;Human;C;XYL2EP200 HumanC;XYL2EP200 HumanC 108;HB5
109;BRK26;1;2;3;XylanSoybeanSeaweed;y;y;Fermented;XYL2EP2299;Human;A;XYL2EP2299 HumanA;XYL2EP2299 HumanA 109;HB5
110;BRK2;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYL2EP2299;Human;A;XYL2EP2299 HumanA;XYL2EP2299 HumanA 110;HB1
111;BRK84;1;1;1;XylanSoybean;y;y;Fermented;XYL2EP2299;Human;B;XYL2EP2299 HumanB;XYL2EP2299 HumanB 111;HB4
115;BRK1;1;2;3;XylanSoybean;y;n;Fermented;XYCEP100;Human;A;XYCEP100 HumanA;XYCEP100 HumanA 115;HB4
117;BRK65;1;1;1;XylanRapeseed;y;n;Fermented;XYCEP100;Human;B;XYCEP100 HumanB;XYCEP100 HumanB 117;HB3
118;BRK45;1;1;1;XylanRapeseed;y;n;Fermented;XYCEP100;Human;B;XYCEP100 HumanB;XYCEP100 HumanB 118;HB2
119;BRK51;1;1;1;XylanRapeseed;y;n;Fermented;XYCEP100;Human;C;XYCEP100 HumanC;XYCEP100 HumanC 119;HB2
120;BRK11;1;1;1;XylanRapeseed;y;n;Fermented;XYCEP100;Human;C;XYCEP100 HumanC;XYCEP100 HumanC 120;HB1
121;BRK92;1;1;1;XylanRapeseed;y;y;Fermented;XYLCEP1199;Human;A;XYLCEP1199 HumanA;XYLCEP1199 HumanA 121;HB4
122;BRK50;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Human;A;XYLCEP1199 HumanA;XYLCEP1199 HumanA 122;HB2
123;BRK17;1;2;3;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Human;B;XYLCEP1199 HumanB;XYLCEP1199 HumanB 123;HB5
124;BRK63;1;1;1;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Human;B;XYLCEP1199 HumanB;XYLCEP1199 HumanB 124;HB3
125;BRK16;1;2;3;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Human;C;XYLCEP1199 HumanC;XYLCEP1199 HumanC 125;HB5
126;BRK22;1;2;3;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Human;C;XYLCEP1199 HumanC;XYLCEP1199 HumanC 126;HB5
127;BRK31;1;2;3;XylanSoybean;y;n;Fermented;XYLCEP200;Human;A;XYLCEP200 HumanA;XYLCEP200 HumanA 127;HB5
128;BRK49;1;1;1;XylanSoybean;y;n;Fermented;XYLCEP200;Human;A;XYLCEP200 HumanA;XYLCEP200 HumanA 128;HB2
129;BRK9;1;1;1;XylanSoybean;y;n;Fermented;XYLCEP200;Human;B;XYLCEP200 HumanB;XYLCEP200 HumanB 129;HB1
130;BRK2;1;2;3;XylanSoybean;y;n;Fermented;XYLCEP200;Human;B;XYLCEP200 HumanB;XYLCEP200 HumanB 130;HB4
131;BRK32;1;2;3;XylanSoybean;y;n;Fermented;XYLCEP200;Human;C;XYLCEP200 HumanC;XYLCEP200 HumanC 131;HB5
133;BRK13;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Human;A;XYLCEP2299 HumanA;XYLCEP2299 HumanA 133;HB1
134;BRK66;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Human;A;XYLCEP2299 HumanA;XYLCEP2299 HumanA 134;HB3
135;BRK62;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Human;B;XYLCEP2299 HumanB;XYLCEP2299 HumanB 135;HB3
136;BRK93;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Human;B;XYLCEP2299 HumanB;XYLCEP2299 HumanB 136;HB4
138;BRK64;1;1;1;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Human;C;XYLCEP2299 HumanC;XYLCEP2299 HumanC 138;HB3
139;BRK173;2;1;2;Rapeseed;n;n;Unfermented;C100;Pig;A;C100 PigA;C100 PigA 139;B6M
140;BRK141;2;1;2;Rapeseed;n;n;Unfermented;C100;Pig;A;C100 PigA;C100 PigA 140;B4
141;BRK67;1;2;3;Rapeseed;n;n;Unfermented;C100;Pig;B;C100 PigB;C100 PigB 141;B1
142;BRK127;2;1;2;Rapeseed;n;n;Unfermented;C100;Pig;B;C100 PigB;C100 PigB 142;B4
143;BRK128;2;1;2;Rapeseed;n;n;Unfermented;C100;Pig;C;C100 PigC;C100 PigC 143;B4
144;BRK142;2;1;2;Rapeseed;n;n;Unfermented;C100;Pig;C;C100 PigC;C100 PigC 144;B4
145;BRK147;2;1;2;Rapeseed;n;n;Unfermented;C1199;Pig;A;C1199 PigA;C1199 PigA 145;B5
146;BRK101;2;1;2;Rapeseed;n;n;Unfermented;C1199;Pig;A;C1199 PigA;C1199 PigA 146;B3
147;BRK91;1;2;3;RapeseedSeaweed;n;y;Unfermented;C1199;Pig;B;C1199 PigB;C1199 PigB 147;B2
148;BRK169;2;1;2;Rapeseed;n;n;Unfermented;C1199;Pig;B;C1199 PigB;C1199 PigB 148;B6M
149;BRK146;2;1;2;Rapeseed;n;n;Unfermented;C1199;Pig;C;C1199 PigC;C1199 PigC 149;B5
150;BRK92;1;2;3;RapeseedSeaweed;n;y;Unfermented;C1199;Pig;C;C1199 PigC;C1199 PigC 150;B2
151;BRK183;2;1;2;Soybean;n;n;Unfermented;C200;Pig;A;C200 PigA;C200 PigA 151;B6M
153;BRK99;2;1;2;Soybean;n;n;Unfermented;C200;Pig;B;C200 PigB;C200 PigB 153;B3
154;BRK189;2;1;2;Soybean;n;n;Unfermented;C200;Pig;B;C200 PigB;C200 PigB 154;B6M
155;BRK184;2;1;2;Soybean;n;n;Unfermented;C200;Pig;C;C200 PigC;C200 PigC 155;B6M
156;BRK126;2;1;2;Soybean;n;n;Unfermented;C200;Pig;C;C200 PigC;C200 PigC 156;B4
157;BRK145;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;A;C2299 PigA;C2299 PigA 157;B5
159;BRK171;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;B;C2299 PigB;C2299 PigB 159;B6M
160;BRK159;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;B;C2299 PigB;C2299 PigB 160;B5
161;BRK185;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;C;C2299 PigC;C2299 PigC 161;B6M
162;BRK170;2;1;2;Soybean;n;n;Unfermented;C2299;Pig;C;C2299 PigC;C2299 PigC 162;B6M
163;BRK148;2;1;2;RapeseedSeaweed;n;y;Fermented;EP100;Pig;A;EP100 PigA;EP100 PigA 163;B5
164;BRK125;2;1;2;RapeseedSeaweed;n;y;Fermented;EP100;Pig;A;EP100 PigA;EP100 PigA 164;B4
165;BRK66;1;2;3;Rapeseed;n;n;Fermented;EP100;Pig;B;EP100 PigB;EP100 PigB 165;B1
167;BRK65;1;2;3;Rapeseed;n;n;Fermented;EP100;Pig;C;EP100 PigC;EP100 PigC 167;B1
168;BRK100;2;1;2;RapeseedSeaweed;n;y;Fermented;EP100;Pig;C;EP100 PigC;EP100 PigC 168;B3
169;BRK97;2;1;2;RapeseedSeaweed;n;y;Fermented;EP1199;Pig;A;EP1199 PigA;EP1199 PigA 169;B3
170;BRK70;1;2;3;RapeseedSeaweed;n;y;Fermented;EP1199;Pig;A;EP1199 PigA;EP1199 PigA 170;B1
171;BRK73;1;2;3;RapeseedSeaweed;n;y;Fermented;EP1199;Pig;B;EP1199 PigB;EP1199 PigB 171;B2
